inzptln,monza,please forget mick drive today started medium p17 held p8 good ended p12 get final 7 lap catch pas ocon zhou etc confident could scored point today,15,1662906792.0
inzqpg4,monza,hey heard crowd booing max lol,15,1662907126.0
inzbadp,monza,lmao cut mics minute silence,14,1662900397.0
inzbdck,monza,flyover planned ferrari strategy department,14,1662900442.0
inzbhh0,monza,haha turned mics minute silence make seem like whole grid quiet turn back time anthem,14,1662900502.0
inzbur3,monza,incoming leclerc confuses suit yellow flag p6,14,1662900683.0
inzc1ar,monza,max need win anymore verstappen,14,1662900778.0
inzc3j3,monza,need win anymore guy actually tired winning bro please retire early,13,1662900810.0
inzdu37,monza,russell leclerc drove car,13,1662901718.0
inzdydt,monza,magnussen little way behind george russell yeah 12 position behind,12,1662901779.0
inzdzjq,monza,charles pulling away max rapid think seen one,12,1662901796.0
inzdzxs,monza,verstappen inevitable,13,1662901802.0
inze0gb,monza,holy shit easy,13,1662901809.0
inze5l7,monza,verstappen already behind want give question,13,1662901881.0
inzea1w,monza,strategy 19 driver tyre deg pit window slipstream drs zone strategy max red bull go vroom vroom,13,1662901944.0
inzeuxr,monza,de vries lost 1 spot latifi lost 7,13,1662902237.0
inzev99,monza,imagine seeing brake fire shitting work driving f1 car lol fuck,13,1662902241.0
inzevbw,monza,perez literal version fine meme,13,1662902242.0
inzfpi2,monza,charles also getting paid lead strategist,13,1662902619.0
inzfydt,monza,sainz p18 p4 standard sunday drive impressive,13,1662902730.0
inzg3sm,monza,leclerc sainz next massive 1 1 chance together put pressure max,13,1662902796.0
inzg3xo,monza,de vries really solid today,12,1662902798.0
inzg4w0,monza,imagine nick getting point race latifi still 0 lol,13,1662902810.0
inzg8dy,monza,ferrari moment,13,1662902852.0
inzgbcx,monza,impressed de vries goddamn,13,1662902889.0
inzgc1y,monza,must latifi right car next year sure,14,1662902897.0
inzgdt6,monza,dude give sainz driver day guy carved fuck grid que grande eres carlos,13,1662902917.0
inzh0os,monza,pretty clear latifi deserve seat f1,13,1662903195.0
inzh53j,monza,true albon car better mechanic way explain de vries far ahead goat,13,1662903248.0
inzh6rv,monza,seeing ver ru still comfy softs make realise early lec pitted,13,1662903267.0
inzh71e,monza,de vries suck tyre management put nyck medium 33 lap,14,1662903270.0
